date,hour,load
1/18/2010,23,758.59
1/18/2010,24,708.13
1/19/2010,1,673.65
1/19/2010,2,646.37
1/19/2010,3,640.89
1/19/2010,4,632.71
1/19/2010,5,634.23
1/19/2010,6,655.34
1/19/2010,7,674.97
1/19/2010,8,808.58
1/19/2010,9,946.1
1/19/2010,10,1029.25
1/19/2010,11,1074.97
1/19/2010,12,1080.28
1/19/2010,13,1086.76
1/19/2010,14,1108.06
1/19/2010,15,1102.29
1/19/2010,16,1052.26
1/19/2010,17,961.55
1/19/2010,18,871.1
1/19/2010,19,930
1/19/2010,20,894.09
1/19/2010,21,858.69
1/19/2010,22,819.38
1/19/2010,23,765.92
1/19/2010,24,722.28
1/20/2010,1,679.95
1/20/2010,2,653.23
1/20/2010,3,652.93
1/20/2010,4,630.31
1/20/2010,5,624.53
1/20/2010,6,653.54
1/20/2010,7,671.21
1/20/2010,8,817.2
1/20/2010,9,961.13
1/20/2010,10,1047.49
1/20/2010,11,1090.05
1/20/2010,12,1089.78
1/20/2010,13,1100.41
1/20/2010,14,1113.22
1/20/2010,15,1109.07
1/20/2010,16,1064.3
1/20/2010,17,981.08
1/20/2010,18,891.81
1/20/2010,19,947.12
1/20/2010,20,914.05
1/20/2010,21,867.32
1/20/2010,22,820.17
1/20/2010,23,764.1
1/20/2010,24,721.33
1/21/2010,1,674.01
1/21/2010,2,659.5
1/21/2010,3,634.81
1/21/2010,4,629.64
1/21/2010,5,627.65
1/21/2010,6,653.99
1/21/2010,7,665.79
1/21/2010,8,807.15
1/21/2010,9,959.22
1/21/2010,10,1042.11
1/21/2010,11,1081.81
1/21/2010,12,1092.9
1/21/2010,13,1093.68
1/21/2010,14,1114.42
1/21/2010,15,1107.8
1/21/2010,16,1058.92
1/21/2010,17,978.22
1/21/2010,18,888.67
1/21/2010,19,946.35
1/21/2010,20,911.19
1/21/2010,21,865.64
1/21/2010,22,823.25
1/21/2010,23,774.94
1/21/2010,24,725.26
1/22/2010,1,686.87
1/22/2010,2,659.07
1/22/2010,3,647.76
1/22/2010,4,639.49
1/22/2010,5,636.84
1/22/2010,6,651.1
1/22/2010,7,666.41
1/22/2010,8,800.61
1/22/2010,9,939.04
1/22/2010,10,1030.25
1/22/2010,11,1062.28
1/22/2010,12,1081.6
1/22/2010,13,1077.2
1/22/2010,14,1094.65
1/22/2010,15,1094.69
1/22/2010,16,1041.41
1/22/2010,17,958.42
1/22/2010,18,869.56
1/22/2010,19,933.05
1/22/2010,20,910.44
1/22/2010,21,863.24
1/22/2010,22,829.96
1/22/2010,23,777.63
1/22/2010,24,728.12
1/23/2010,1,695.75
1/23/2010,2,668.64
1/23/2010,3,646.9
1/23/2010,4,629.11
1/23/2010,5,635.69
1/23/2010,6,635.56
1/23/2010,7,641.02
1/23/2010,8,716.48
1/23/2010,9,840.77
1/23/2010,10,934.09
1/23/2010,11,962.57
1/23/2010,12,964.81
1/23/2010,13,935.69
1/23/2010,14,925.53
1/23/2010,15,885.01
1/23/2010,16,862.02
1/23/2010,17,827.61
1/23/2010,18,810.48
1/23/2010,19,901.2
1/23/2010,20,880.23
1/23/2010,21,844.76
1/23/2010,22,794.3
1/23/2010,23,757.19
1/23/2010,24,712.46
1/24/2010,1,686.34
1/24/2010,2,661.37
1/24/2010,3,643.7
1/24/2010,4,632.93
1/24/2010,5,618.27
1/24/2010,6,609.97
1/24/2010,7,580.72
1/24/2010,8,605.19
1/24/2010,9,637.44
1/24/2010,10,682.86
1/24/2010,11,731.22
1/24/2010,12,747.04
1/24/2010,13,757.35
1/24/2010,14,753.08
1/24/2010,15,734.34
1/24/2010,16,724.01
1/24/2010,17,713.29
1/24/2010,18,720.02
1/24/2010,19,807.4
1/24/2010,20,800.82
1/24/2010,21,789.43
1/24/2010,22,766.68
1/24/2010,23,723.67
1/24/2010,24,677.11
1/25/2010,1,645.87
1/25/2010,2,622.9
1/25/2010,3,611.24
1/25/2010,4,602.07
1/25/2010,5,608.43
1/25/2010,6,635.96
1/25/2010,7,662.95
1/25/2010,8,808.4
1/25/2010,9,938.97
1/25/2010,10,1032.33
1/25/2010,11,1075.57
1/25/2010,12,1080.62
1/25/2010,13,1088.06
1/25/2010,14,1094.46
1/25/2010,15,1090.27
1/25/2010,16,1045.93
1/25/2010,17,959.89
1/25/2010,18,875.22
1/25/2010,19,915.42
1/25/2010,20,891.32
1/25/2010,21,842.73
1/25/2010,22,804.66
1/25/2010,23,756.15
1/25/2010,24,709.72
1/26/2010,1,672.06
1/26/2010,2,647.65
1/26/2010,3,632.24
1/26/2010,4,619.92
1/26/2010,5,629.87
1/26/2010,6,655.42
1/26/2010,7,669.49
1/26/2010,8,798.59
1/26/2010,9,939.29
1/26/2010,10,1021.88
1/26/2010,11,1058.13
1/26/2010,12,1055.02
1/26/2010,13,1049.27
1/26/2010,14,1041.26
1/26/2010,15,1038.31
1/26/2010,16,970.12
1/26/2010,17,914.4
1/26/2010,18,855.61
1/26/2010,19,879.18
1/26/2010,20,850.88
1/26/2010,21,814.62
1/26/2010,22,772.87
1/26/2010,23,718.14
1/26/2010,24,680.96
1/27/2010,1,653.09
1/27/2010,2,629.4
1/27/2010,3,616.92
1/27/2010,4,603.77
1/27/2010,5,611.02
1/27/2010,6,639.12
1/27/2010,7,654
1/27/2010,8,783.94
1/27/2010,9,909.54
1/27/2010,10,1004.15
1/27/2010,11,1038.04
1/27/2010,12,1048.4
1/27/2010,13,1058.24
1/27/2010,14,1079.87
1/27/2010,15,1069.1
1/27/2010,16,1028.49
1/27/2010,17,944.2
1/27/2010,18,862.18
1/27/2010,19,911.65
1/27/2010,20,884.94
1/27/2010,21,843.16
1/27/2010,22,798.78
1/27/2010,23,750.86
1/27/2010,24,708.15
1/28/2010,1,667.84
1/28/2010,2,643.88
1/28/2010,3,633.39
1/28/2010,4,624.8
1/28/2010,5,621.1
1/28/2010,6,652.21
1/28/2010,7,666.16
1/28/2010,8,806.23
1/28/2010,9,937.5
1/28/2010,10,1026.96
1/28/2010,11,1069.98
1/28/2010,12,1068.25
1/28/2010,13,1071.01
1/28/2010,14,1086.15
1/28/2010,15,1078.01
1/28/2010,16,1034.68
1/28/2010,17,953.77
1/28/2010,18,863.63
1/28/2010,19,908.04
1/28/2010,20,889.65
1/28/2010,21,850.84
1/28/2010,22,807.11
1/28/2010,23,756.84
1/28/2010,24,720.47
1/29/2010,1,673.31
1/29/2010,2,656.92
1/29/2010,3,629.04
1/29/2010,4,624.03
1/29/2010,5,631.03
1/29/2010,6,652.24
1/29/2010,7,670.3
1/29/2010,8,807.28
1/29/2010,9,951.93
1/29/2010,10,1038.97
1/29/2010,11,1078.63
1/29/2010,12,1081.24
1/29/2010,13,1075.18
1/29/2010,14,1086.66
1/29/2010,15,1080.56
1/29/2010,16,1048.44
1/29/2010,17,960.71
1/29/2010,18,872.87
1/29/2010,19,923.37
1/29/2010,20,898.55
1/29/2010,21,859.58
1/29/2010,22,807.38
1/29/2010,23,770.08
1/29/2010,24,737.92
1/30/2010,1,694.33
1/30/2010,2,669.1
1/30/2010,3,646.25
1/30/2010,4,632.81
1/30/2010,5,621.11
1/30/2010,6,633.27
1/30/2010,7,624.46
1/30/2010,8,706.07
1/30/2010,9,830.34
1/30/2010,10,925.7
1/30/2010,11,966.51
